# Exact Mahonian harness extension, m = 4..400
# Exact integer/Fraction arithmetic in every verdict; floats display-only.
# sigma^2 = m(m-1)(2m+5)/72; C_SHARP = 187/216 = 0.8657407407407407
# mfit column = m*(1 - varfit), predicted -> 27/25 = 1.08
   m      N argmin    mid          r-1       varfit     mfit verdict
 294  43071  21535  21535   1.4043e-06 0.9963309625  1.07870   PASS
 295  43365  21682  21682   1.3901e-06 0.9963433835  1.07870   PASS
 296  43660  21830  21830   1.3761e-06 0.9963557193  1.07871   PASS
 297  43956  21978  21978   1.3623e-06 0.9963679735  1.07871   PASS
 298  44253  22126  22126   1.3487e-06 0.9963801468  1.07872   PASS
 299  44551  22275  22275   1.3352e-06 0.9963922376  1.07872   PASS
 300  44850  22425  22425   1.3220e-06 0.9964042467  1.07873   PASS
 301  45150  22575  22575   1.3089e-06 0.9964161772  1.07873   PASS
 302  45451  22725  22725   1.2959e-06 0.9964280301  1.07873   PASS
 303  45753  22876  22876   1.2832e-06 0.9964398036  1.07874   PASS
 304  46056  23028  23028   1.2706e-06 0.9964514987  1.07874   PASS
 305  46360  23180  23180   1.2582e-06 0.9964631183  1.07875   PASS
 306  46665  23332  23332   1.2459e-06 0.9964746632  1.07875   PASS
 307  46971  23485  23485   1.2338e-06 0.9964861319  1.07876   PASS
 308  47278  23639  23639   1.2219e-06 0.9964975251  1.07876   PASS
 309  47586  23793  23793   1.2101e-06 0.9965088458  1.07877   PASS
 310  47895  23947  23947   1.1984e-06 0.9965200946  1.07877   PASS
 311  48205  24102  24102   1.1870e-06 0.9965312701  1.07878   PASS
 312  48516  24258  24258   1.1756e-06 0.9965423730  1.07878   PASS
 313  48828  24414  24414   1.1644e-06 0.9965534061  1.07878   PASS
 314  49141  24570  24570   1.1533e-06 0.9965643700  1.07879   PASS
 315  49455  24727  24727   1.1424e-06 0.9965752634  1.07879   PASS
 316  49770  24885  24885   1.1316e-06 0.9965860870  1.07880   PASS
 317  50086  25043  25043   1.1210e-06 0.9965968433  1.07880   PASS
 318  50403  25201  25201   1.1105e-06 0.9966075330  1.07880   PASS
 319  50721  25360  25360   1.1001e-06 0.9966181549  1.07881   PASS
 320  51040  25520  25520   1.0898e-06 0.9966287095  1.07881   PASS
 321  51360  25680  25680   1.0797e-06 0.9966391994  1.07882   PASS
 322  51681  25840  25840   1.0697e-06 0.9966496251  1.07882   PASS
 323  52003  26001  26001   1.0598e-06 0.9966599854  1.07882   PASS
 324  52326  26163  26163   1.0501e-06 0.9966702810  1.07883   PASS
 325  52650  26325  26325   1.0404e-06 0.9966805142  1.07883   PASS
 326  52975  26487  26487   1.0309e-06 0.9966906855  1.07884   PASS
 327  53301  26650  26650   1.0215e-06 0.9967007939  1.07884   PASS
 328  53628  26814  26814   1.0122e-06 0.9967108399  1.07884   PASS
 329  53956  26978  26978   1.0031e-06 0.9967208257  1.07885   PASS
 330  54285  27142  27142   9.9398e-07 0.9967307518  1.07885   PASS
 331  54615  27307  27307   9.8502e-07 0.9967406173  1.07886   PASS
 332  54946  27473  27473   9.7617e-07 0.9967504226  1.07886   PASS
 333  55278  27639  27639   9.6743e-07 0.9967601699  1.07886   PASS
 334  55611  27805  27805   9.5879e-07 0.9967698597  1.07887   PASS
 335  55945  27972  27972   9.5025e-07 0.9967794909  1.07887   PASS
 336  56280  28140  28140   9.4181e-07 0.9967890641  1.07887   PASS
 337  56616  28308  28308   9.3347e-07 0.9967985813  1.07888   PASS
 338  56953  28476  28476   9.2523e-07 0.9968080430  1.07888   PASS
 339  57291  28645  28645   9.1709e-07 0.9968174482  1.07889   PASS
 340  57630  28815  28815   9.0904e-07 0.9968267974  1.07889   PASS
 341  57970  28985  28985   9.0109e-07 0.9968360926  1.07889   PASS
 342  58311  29155  29155   8.9322e-07 0.9968453342  1.07890   PASS
 343  58653  29326  29326   8.8545e-07 0.9968545213  1.07890   PASS
 344  58996  29498  29498   8.7777e-07 0.9968636543  1.07890   PASS
 345  59340  29670  29670   8.7018e-07 0.9968727351  1.07891   PASS
 346  59685  29842  29842   8.6268e-07 0.9968817642  1.07891   PASS
 347  60031  30015  30015   8.5526e-07 0.9968907407  1.07891   PASS
 348  60378  30189  30189   8.4792e-07 0.9968996649  1.07892   PASS
 349  60726  30363  30363   8.4067e-07 0.9969085387  1.07892   PASS
 350  61075  30537  30537   8.3351e-07 0.9969173625  1.07892   PASS
 351  61425  30712  30712   8.2642e-07 0.9969261355  1.07893   PASS
 352  61776  30888  30888   8.1941e-07 0.9969348580  1.07893   PASS
 353  62128  31064  31064   8.1249e-07 0.9969435318  1.07893   PASS
 354  62481  31240  31240   8.0564e-07 0.9969521573  1.07894   PASS
 355  62835  31417  31417   7.9886e-07 0.9969607336  1.07894   PASS
 356  63190  31595  31595   7.9217e-07 0.9969692612  1.07894   PASS
 357  63546  31773  31773   7.8554e-07 0.9969777417  1.07895   PASS
 358  63903  31951  31951   7.7900e-07 0.9969861754  1.07895   PASS
 359  64261  32130  32130   7.7252e-07 0.9969945616  1.07895   PASS
 360  64620  32310  32310   7.6611e-07 0.9970029008  1.07896   PASS
 361  64980  32490  32490   7.5978e-07 0.9970111943  1.07896   PASS
 362  65341  32670  32670   7.5352e-07 0.9970194426  1.07896   PASS
 363  65703  32851  32851   7.4732e-07 0.9970276450  1.07896   PASS
 364  66066  33033  33033   7.4119e-07 0.9970358018  1.07897   PASS
 365  66430  33215  33215   7.3513e-07 0.9970439145  1.07897   PASS
 366  66795  33397  33397   7.2914e-07 0.9970519835  1.07897   PASS
 367  67161  33580  33580   7.2321e-07 0.9970600079  1.07898   PASS
 368  67528  33764  33764   7.1734e-07 0.9970679884  1.07898   PASS
 369  67896  33948  33948   7.1154e-07 0.9970759261  1.07898   PASS
 370  68265  34132  34132   7.0580e-07 0.9970838215  1.07899   PASS
 371  68635  34317  34317   7.0012e-07 0.9970916738  1.07899   PASS
 372  69006  34503  34503   6.9450e-07 0.9970994835  1.07899   PASS
 373  69378  34689  34689   6.8894e-07 0.9971072519  1.07900   PASS
 374  69751  34875  34875   6.8344e-07 0.9971149792  1.07900   PASS
 375  70125  35062  35062   6.7800e-07 0.9971226649  1.07900   PASS
 376  70500  35250  35250   6.7262e-07 0.9971303093  1.07900   PASS
 377  70876  35438  35438   6.6729e-07 0.9971379136  1.07901   PASS
 378  71253  35626  35626   6.6202e-07 0.9971454782  1.07901   PASS
 379  71631  35815  35815   6.5681e-07 0.9971530025  1.07901   PASS
